name,client_id,enabled,graph_api_permissions,auth_code,device_code,brk_refresh,foci,reply_addresses
SharePoint Android,f05ff7c9-f75a-4acd-a3b5-f4b6a870245d,True,"Contacts.Read,Directory.Read.All,Group.Read.All,People.Read,Sites.Read.All,User.Read.All",,Yes,,True,
Microsoft Edge,f44b1140-bc5e-48c6-8dc0-5cf5a53c0e34,True,User.Read,,Yes,,True,
M365 Compliance Drive Client,be1918be-3fe3-4be9-b32b-b542fc27f02e,True,[None],,,,True,
Microsoft Defender Platform,cab96880-db5b-4e15-90a7-f3f1d62ffe39,True,"Device.Read.All,User.Read",yes,Yes,,True,ms-appx-web://Microsoft.AAD.BrokerPlugin/cab96880-db5b-4e15-90a7-f3f1d62ffe39
Microsoft Edge Enterprise New Tab Page,d7b530a4-7680-4c23-a8bf-c52c121d2e87,True,"Calendars.Read,Calendars.Read.Shared,Contacts.Read,Files.Read,Files.Read.All,Files.ReadWrite,Mail.Read,Tasks.ReadWrite,User.Read,User.Read.All,User.ReadBasic.All",yes,Yes,,True,"https://login.microsoftonline.com/common/oauth2/nativeclient,ms-appx-web://Microsoft.AAD.BrokerPlugin/d7b530a4-7680-4c23-a8bf-c52c121d2e87"
Microsoft Defender for Mobile,dd47d17a-3194-4d86-bfd5-c6ae6f5651e3,True,User.Read,,Yes,,True,
Outlook Lite,e9b154d0-7658-433b-bb25-6b8e0a8a7c59,True,User.Read,,Yes,,True,
Managed Meeting Rooms,eb20f3e3-3dce-4d2c-b721-ebb8d4414067,True,"email,openid,profile,DeviceManagementServiceConfig.Read.All,Group.Read.All,LicenseAssignment.ReadWrite.All,Organization.Read.All,Place.ReadWrite.All,RoleManagement.Read.Directory,User.ManageIdentities.All,User.Read,User.Read.All,.default",,,,True,
OfficeHome,4765445b-32c6-49b0-83e6-1d93765276ca,True,,,,,False,
Office365 Shell WCSS-Client,89bee1f7-5e6e-4d8a-9f3d-ecd601259da7,True,,,,,False,
Microsoft Account Controls V2,7eadcef8-456d-4611-9480-4fff72b8b9e2,True,,,,,False,
My Apps,2793995e-0a7d-40d7-bd35-6968ba142197,True,"Application.ReadWrite.All,CrossTenantInformation.ReadBasic.All,Directory.Read.All,email,openid,profile,User.Read",yes,,,False,https://myapps.microsoft.com
Office365 Shell WCSS-Server,5f09333a-842c-47da-a157-57da27fcbca5,True,,,,,False,
Microsoft Office 365 Portal,00000006-0000-0ff1-ce00-000000000000,True,,,,,False,
Microsoft 365 App Catalog Services,e8be65d6-d430-4289-a665-51bf2a194bda,True,,,,,False,
Azure Portal,c44b4083-3bb0-49c1-b47d-974e53cbdf3c,True,,,,,False,
Microsoft App Access Panel,0000000c-0000-0000-c000-000000000000,True,,,,,False,
Sway,905fcf26-4eb7-48a0-9ff0-8dcc7194b5ba,True,,,,,False,
OfficeServicesManager,9e4a5442-a5c9-4f6f-b03f-5b9fcaaf24b1,True,,,,,False,
Office 365 Client Admin,3cf6df92-2745-4f6f-bbcf-19b59bcdb62a,True,,,,,False,
SubscriptionRP,e3335adb-5ca0-40dc-b8d3-bedc094e523b,True,[None],,,,False,
Office Online Service LEGACY,67e3df25-268a-4324-a550-0de1c7f97287,True,,,,,False,
Microsoft Teams AuditService,978877ea-b2d6-458b-80c7-05df932f3723,True,[None],,,,False,
StreamToSubstrateRepl,607e1f95-b519-4bac-8a15-6196f40e8977,True,[None],,,,False,
Office 365 Reports,507bc9da-c4e2-40cb-96a7-ac90df92685c,True,,,,,False,
ConnectionsService,b7912db9-aa33-4820-9d4f-709830fdd78f,True,,,,,False,
MicrosoftTeamsCortanaSkills,2bb78a2a-f8f1-4bc3-8ecf-c1e15a0726e6,False,,,,,False,
Network Watcher,7c33bfcb-8d33-48d6-8e60-dc6404003489,True,[None],,,,False,
Azure Cost Management XCloud,3184af01-7a88-49e0-8b55-8ecdce0aa950,True,[None],,,,False,
Skype Team Substrate connector,1c0ae35a-e2ec-4592-8e08-c40884656fa5,True,[None],,,,False,
SharePoint Online Client,57fb890c-0dab-4253-a5e0-7188c88b2bb4,True,[None],,,,False,
Intune DeviceDirectory ConfidentialClient,7e313d81-57dd-4bdd-906e-337963583de3,True,[None],,,,False,
My Staff,ba9ff945-a723-4ab5-a977-bd8c9044fe61,True,,,,,False,
Teams Approvals,3e050dd7-7815-46a0-8263-b73168a42c10,True,,,,,False,
Configuration Manager Microservice,557c67cf-c916-4293-8373-d584996f60ae,True,,,,,False,
Office 365 Configure,aa9ecb1e-fd53-4aaa-a8fe-7a54de2c1334,True,,,,,False,
ZTNA Network Access Control Plane,9d4afbbc-06a4-49e0-8005-4e5afd1d4fec,True,,,,,False,
MDC Data Sensitivity,bd6d9218-235b-4abd-b3be-9ff157dcf36c,True,[None],,,,False,
OCPS Admin Service,f416c5fc-9ac4-4f66-a8e5-cb203139cbe4,True,[None],,,,False,
M365DataAtRestEncryption,c066d759-24ae-40e7-a56f-027002b5d3e4,True,[None],,,,False,
IAM Supportability,a57aca87-cbc0-4f3c-8b9e-dc095fdc8978,True,[None],,,,False,
Azure Update Manager,c476eb34-4c94-43bc-97fc-94ede0534615,True,[None],,,,False,
Azure Communication Services,1fd5118e-2576-4263-8130-9503064c837a,True,[None],,,,False,
MSAI Substrate Meeting Intelligence ,038187f5-ca69-4382-8c0b-8d87708d099f,True,[None],,,,False,
Azure SQL Database Backup To Azure Backup Vault,e4ab13ed-33cb-41b4-9140-6e264582cf85,True,,,,,False,
Microsoft Device Directory Service,8f41dc7c-542c-4bdd-8eb3-e60543f607ca,True,,,,,False,
AAD Request Verification Service - PROD,c728155f-7b2a-4502-a08b-b8af9b269319,True,,,,,False,
Microsoft Stream Portal,cf53fce8-def6-4aeb-8d30-b158e7b1cf83,True,,,,,False,
Teams Admin Monitoring Alerting Platform,f2537abf-644e-4a0d-9f7b-c91c45c643db,True,,,,,False,
Microsoft Azure Policy Insights,1d78a85d-813d-46f0-b496-dd72f50a3ec0,True,,,,,False,
Azure Analysis Services,4ac7d521-0382-477b-b0f8-7e1d95f85ca2,True,[None],,,,False,
Microsoft Invitation Acceptance Portal,4660504c-45b3-4674-a709-71951a6b0763,True,,,,,False,
PowerApps Service,475226c6-020e-4fb2-8a90-7a972cbfc1d4,True,,,,,False,
Compute Usage Provider,a303894e-f1d8-4a37-bf10-67aa654a0596,True,[None],,,,False,
PPE-DataResidencyService,dc457883-bafe-4f8b-a333-29685e7eaa9e,True,[None],,,,False,
Device Registration Service,01cb2876-7ebd-4aa4-9cc9-d28bd4d359a9,True,,,,,False,
Microsoft Teams ADL,30e31aeb-977f-4f4f-a483-b61e8377b302,True,[None],,,,False,
Azure SQL Managed Instance to Azure AD Resource Provider,9c8b80bc-6887-42d0-b1af-d0c40f9bf1fa,True,[None],,,,False,
Microsoft Defender for Cloud Pricing Resource Provider,cbff9545-769a-4b41-b76e-fbb069e8727e,True,,,,,False,
Azure Files,69dda2a9-33ca-4ed0-83fb-a9b7b8973ff4,True,[None],,,,False,
Azure Key Vault,cfa8b339-82a2-471a-a3c9-0fc0be7a4093,True,[None],,,,False,
Dataverse,00000007-0000-0000-c000-000000000000,True,,,,,False,
Office Scripts Service,62fd1447-0ef3-4ab7-a956-7dd05232ecc1,True,,,,,False,
OMSAuthorizationServicePROD,50d8616b-fd4f-4fac-a1c9-a6a9440d7fe0,True,[None],,,,False,
SPAuthEvent,3340b944-b12e-47d0-b46b-35f08ec1d8ee,True,[None],,,,False,
Power Platform Data Analytics,7dcff627-a295-4553-9229-b1f3513f82a8,True,,,,,False,
Azure Security for IoT,cfbd4387-1a16-4945-83c0-ec10e46cd4da,True,[None],,,,False,
Microsoft Mobile Application Management Backend,354b5b6d-abd6-4736-9f51-1be80049b91f,True,[None],,,,False,
EDU Assignments,8f348934-64be-4bb2-bc16-c54c96789f43,True,,,,,False,
Azure Windows VM Sign-In,372140e0-b3b7-4226-8ef9-d57986796201,True,[None],,,,False,
OneProfile Service,b2cc270f-563e-4d8a-af47-f00963a71dcd,True,,,,,False,
Azure Compute,579d9c9d-4c83-4efc-8124-7eba65ed3356,True,,,,,False,
Teams and Skype for Business Administration,39624784-6cbe-4a60-afbe-9f46d10fdb27,True,,,,,False,
Substrate Instant Revocation Pipeline,eace8149-b661-472f-b40d-939f89085bd4,True,[None],,,,False,
Azure Cloud Shell,2233b157-f44d-4812-b777-036cdaf9a96e,True,[None],,,,False,
Viva Engage,00000005-0000-0ff1-ce00-000000000000,True,,,,,False,
Azure AD Identity Protection,fc68d9e5-1f76-45ef-99aa-214805418498,True,[None],,,,False,
Centralized Deployment,257601fd-462f-4a21-b623-7f719f0f90f4,True,[None],,,,False,
ResourceHealthRP,8bdebf23-c0fe-4187-a378-717ad86f6a53,True,,,,,False,
Microsoft Teams - Teams And Channels Service,b55b276d-2b09-4ad2-8de5-f09cf24ffba9,True,,,,,False,
EAPortals-AAD-PROD-PME,d48cb907-3a0f-481e-a0d1-41097337a938,True,[None],,,,False,
Microsoft Teams Mailhook,51133ff5-8e0d-4078-bcca-84fb7f905b64,True,,,,,False,
Microsoft Teams AuthSvc,a164aee5-7d0a-46bb-9404-37421d58bdf7,True,,,,,False,
Production-DPS-1P-SQLIaaS,56a02f66-b2ce-4568-954b-907d5476c479,True,[None],,,,False,
Microsoft Dynamics CRM Learning Path,2db8cb1d-fb6c-450b-ab09-49b6ae35186b,False,,,,,False,
Microsoft Intune Service Discovery,9cb77803-d937-493e-9a3b-4b49de3f5a74,True,[None],,,,False,
SharePoint Notification Service,3138fe80-4087-4b04-80a6-8866c738028a,True,,,,,False,
Microsoft Teams Graph Service,ab3be6b7-f5df-413d-ac2d-abf1e3fd9c0b,True,,,,,False,
ComplianceAuthServer,9e5d84af-8971-422f-968a-354cd675ae5b,True,[None],,,,False,
Microsoft Teams Web Client,e1829006-9cf1-4d05-8b48-2e665cb48e6a,True,[None],,,,False,
Log Analytics API,ca7f3f0b-7d91-482c-8e09-c5d840d0eac5,True,,,,,False,
Exchange Office Graph Client for AAD - Noninteractive,765fe668-04e7-42ba-aec0-2c96f1d8b652,True,,,,,False,
Microsoft Flow CDS Integration Service,0eda3b13-ddc9-4c25-b7dd-2f6ea073d6b7,True,,,,,False,
MicrosoftAzureADFulfillment,f09d1391-098c-47d7-ac7e-6ed2afc5016b,True,[None],,,,False,
Outlook Online Add-in App,bc59ab01-8403-45c6-8796-ac3ef710b3e3,True,[None],,,,False,
IDS-PROD,f36c30df-d241-4c14-a0ee-752c71e4d3da,True,Mail.ReadWrite,,Yes,,False,
Conference Auto Attendant,207a6836-d031-4764-a9d8-c1193f455f21,True,[None],,,,False,
Microsoft Teams UIS,1996141e-2b07-4491-927a-5a024b335c78,True,[None],,,,False,
Dynamics 365 Viva Sales,4787c7ff-7cea-43db-8d0d-919f15c6354b,True,,,,,False,
Lifecycle Workflows,ce79fdc4-cd1d-4ea5-8139-e74d7dbe0bb7,True,,,,,False,
Cloud Hybrid Search,feff8b5b-97f3-4374-a16a-1911ae9e15e9,True,[None],,,,False,
Power Query Online GCC-L5,8c8fbf21-0ef3-4f60-81cf-0df811ff5d16,True,,,,,False,
MaintenanceResourceProvider,f18474f2-a66a-4bb0-a3c9-9b8d892092fa,True,[None],,,,False,
o365.servicecommunications.microsoft.com,cb1bda4c-1213-4e8b-911a-0a8c83c5d3b7,True,,,,,False,
Dynamic Alerts,707be275-6b9d-4ee7-88f9-c0c2bd646e0f,True,[None],,,,False,
Skype for Business Online,00000004-0000-0ff1-ce00-000000000000,True,,,,,False,
Azure Graph,dbcbd02a-d7c4-42fb-8c27-b07e5118b848,True,[None],,,,False,
Data Classification Service,7c99d979-3b9c-4342-97dd-3239678fb300,True,,,,,False,
Request Approvals Read Platform,d8c767ef-3e9a-48c4-aef9-562696539b39,True,[None],,,,False,
Microsoft Defender for Cloud CIEM,a70c8393-7c0c-4c1e-916a-811bd476ee11,True,[None],,,,False,
Office 365 Exchange Online,00000002-0000-0ff1-ce00-000000000000,True,,,,,False,
Microsoft Partner,4990cffe-04e8-4e8b-808a-1175604b879f,True,,,,,False,
Cortana at Work Bing Services,22d7579f-06c2-4baa-89d2-e844486adb9d,False,,,,,False,
Azure Edge Zones storage backend,05d97c70-cb7c-4e66-8138-d5ca7c59d206,True,[None],,,,False,
Skype and Teams Tenant Admin API,48ac35b8-9aa8-4d74-927d-1f4a14a0b239,True,,,,,False,
NetworkTrafficAnalyticsService,1e3e4475-288f-4018-a376-df66fd7fac5f,True,[None],,,,False,
Microsoft Modern Contact Master,224a7b82-46c9-4d6b-8db0-7360fb444681,True,[None],,,,False,
Azure Management Groups,f2c304cf-8e7e-4c3f-8164-16299ad9d272,True,[None],,,,False,
Skype for Business,7557eb47-c689-4224-abcf-aef9bd7573df,True,,,,,False,
Graph Connector Service,56c1da01-2129-48f7-9355-af6d59d42766,True,,,,,False,
IC3 Long Running Operations Service,21a8a852-89f4-4947-a374-b26b2db3d365,True,[None],,,,False,
Verifiable Credentials Issuer Service,603b8c59-ba28-40ff-83d1-408eee9a93e5,False,,,,,False,
Application Insights API,f5c26e74-f226-4ae8-85f0-b4af0080ac9e,True,,,,,False,
Euclid,2ca80e7c-4ad1-444f-88f5-58f92b71b7b0,True,[None],,,,False,
Azure DevOps,499b84ac-1321-427f-aa17-267ca6975798,True,,,,,False,
Managed Service Identity,ef5d5c69-a5df-46bb-acaf-426f161a21a2,True,[None],,,,False,
AzureBackup_Fabric_Service,e81c7467-0fc3-4866-b814-c973488361cd,True,[None],,,,False,
Microsoft Flow CDS Integration Service TIP1,eacba838-453c-4d3e-8c6a-eb815d3469a3,True,,,,,False,
AzNS EventHub Action,58ef1dbd-684c-47d6-8ffc-61ea7a197b95,True,[None],,,,False,
Azure Active Directory PowerShell,1b730954-1685-4b74-9bfd-dac224a7b894,True,"Agreement.Read.All,Agreement.ReadWrite.All,AgreementAcceptance.Read,AgreementAcceptance.Read.All,AuditLog.Read.All,Directory.AccessAsUser.All,Directory.ReadWrite.All,Group.ReadWrite.All,IdentityProvider.ReadWrite.All,Policy.ReadWrite.TrustFramework,PrivilegedAccess.ReadWrite.AzureAD,PrivilegedAccess.ReadWrite.AzureADGroup,PrivilegedAccess.ReadWrite.AzureResources,TrustFrameworkKeySet.ReadWrite.All,User.Invite.All",yes,Yes,,False,"https://login.microsoftonline.com/common/oauth2/nativeclient,urn:ietf:wg:oauth:2.0:oob"
Microsoft Intune SCCM Connector,63e61dc2-f593-4a6f-92b9-92e4d2c03d4f,True,[None],,,,False,
NFV Resource Provider,328fd23b-de6e-462c-9433-e207470a5727,True,[None],,,,False,
Microsoft Defender for Cloud Apps MIP Server,0858ddce-8fca-4479-929b-4504feeed95e,True,[None],,,,False,
Azure Key Vault Managed HSM Key Governance Service,a1b76039-a76c-499f-a2dd-846b4cc32627,True,[None],,,,False,
Microsoft Service Trust,d6fdaa33-e821-4211-83d0-cf74736489e1,True,,,,,False,
Microsoft Azure Signup Portal,8e0e8db5-b713-4e91-98e6-470fed0aa4c2,True,,,,,False,
AAD App Management,f0ae4899-d877-4d3c-ae25-679e38eea492,True,,,,,False,
Skype for Business Application Configuration Service,00f82732-f451-4a01-918c-0e9896e784f9,True,[None],,,,False,
AI Builder Authorization Service,ad40333e-9910-4b61-b281-e3aeeb8c3ef3,True,[None],,,,False,
OCaaS Client Interaction Service,c2ada927-a9e2-4564-aae2-70775a2fa0af,True,[None],,,,False,
SharePoint Online Client Extensibility,c58637bb-e2e1-4312-8a00-04b5ffcd3403,True,user_impersonation,,Yes,,False,
Dynamics 365 Resource Scheduling Optimization,2f6713e6-1e21-4a83-91b4-5bf9a2378f81,True,,,,,False,
MIP Exchange Solutions,a150d169-7d37-47dd-9b20-156207b7b02f,True,[None],,,,False,
Office 365 Mover,d62121f3-e023-4972-b6b0-794190c0fd98,True,,,,,False,
Microsoft Exact Data Match Service,273404b8-7ebc-4360-9f90-b40417f77b53,True,[None],,,,False,
AIGraphClient,0f6edad5-48f2-4585-a609-d252b1c52770,True,,,,,False,
M365 Pillar Diagnostics Service,58ea322b-940c-4d98-affb-345ec4cccb92,True,[None],,,,False,
Microsoft.SecurityDevOps Resource Provider,7bf610f7-ecaf-43a2-9dbc-33b14314d6fe,True,[None],,,,False,
Microsoft Device Management Checkin,ca0a114d-6fbc-46b3-90fa-2ec954794ddb,True,[None],,,,False,
Office MRO Device Manager Service,ebe0c285-db95-403f-a1a3-a793bd6d7767,True,,,,,False,
Office365DirectorySynchronizationService,18af356b-c4fd-4f52-9899-d09d21397ab7,True,[None],,,,False,
SharePoint Home Notifier,4e445925-163e-42ca-b801-9073bfa46d17,True,,,,,False,
ComplianceWorkbenchApp,92876b03-76a3-4da8-ad6a-0511ffdf8647,True,[None],,,,False,
Microsoft Office Licensing Service vNext,db55028d-e5ba-420f-816a-d18c861aefdf,True,[None],,,,False,
Azure MFA StrongAuthenticationService,b5a60e17-278b-4c92-a4e2-b9262e66bb28,True,[None],,,,False,
Azure Portal RP,5b3b270a-b9ad-46e7-9bbb-a866897c4dc7,True,[None],,,,False,
Teams EHR Connector,e97edbaf-39b2-4546-ba61-0a24e1bef890,True,,,,,False,
SharePoint Framework Azure AD Helper,e29b5c86-b9ab-4a86-9a20-d10842007599,True,,,,,False,
Azure DNS Managed Resolver,b4ca0290-4e73-4e31-ade0-c82ecfaabf6a,True,,,,,False,
Azure SQL Database,022907d3-0f1b-48f7-badc-1ba6abab6d66,True,,,,,False,
Microsoft Teams RetentionHook Service,f5aeb603-2a64-4f37-b9a8-b544f3542865,True,[None],,,,False,
Compute Artifacts Publishing Service,a8b6bf88-1d1a-4626-b040-9a729ea93c65,True,[None],,,,False,
Microsoft.MileIQ,a25dbca8-4e60-48e5-80a2-0664fdb5c9b6,True,[None],,,,False,
Azure Service Connector Resource Provider,c4288165-6698-45ba-98a5-48ea7791fed3,True,,,,,False,
Microsoft Whiteboard Services,95de633a-083e-42f5-b444-a4295d8e9314,True,"Chat.ReadWrite,Directory.Read.All,email,Files.ReadWrite.All,Group.Read.All,GroupMember.ReadWrite.All,InformationProtectionPolicy.Read,openid,Organization.Read.All,People.Read,profile,Tasks.ReadWrite,User.Read,User.ReadBasic.All",yes,,,False,ms-appx-web://Microsoft.AAD.BrokerPlugin/95de633a-083e-42f5-b444-a4295d8e9314
Discovery Service,d29a4c00-4966-492a-84dd-47e779578fb7,True,[None],,,,False,
Common Data Service - Azure Data Lake Storage,546068c3-99b1-4890-8e93-c8aeadcfe56a,True,[None],,,,False,
Teams Application Gateway,8a753eec-59bc-4c6a-be91-6bf7bfe0bcdf,False,,,,,False,
M365CommunicationCompliance,b8d56525-1fd0-4121-a640-e0ede64f74b5,True,[None],,,,False,
Permission Service O365,6d32b7f8-782e-43e0-ac47-aaad9f4eb839,True,,,,,False,
Microsoft Intune,0000000a-0000-0000-c000-000000000000,True,,,,,False,
Azure Bastion,79d7fb34-4bef-4417-8184-ff713af7a679,True,[None],,,,False,
Microsoft Device Management Enrollment,709110f7-976e-4284-8851-b537e9bcb187,True,[None],,,,False,
Azure Application Change Service,2cfc91a4-7baa-4a8f-a6c9-5f3d279060b8,True,[None],,,,False,
Dynamics 365 Business Central,996def3d-b36c-4153-8607-a6fd3c01b89f,True,,,,,False,
