sha256,sha1,md5,size,type_description,meaningful_name,reputation,times_submitted,first_submission_date,last_analysis_date,type_tag
0f1ca60ab5bd4fcba7a5e24ae76332ddf012e724319fadf7267cc730a11725b3,31af0cf93ef2a4b2a9767f329a52d8c22f97fec1,1126f74ae969277d53ffd9a03fb8b33a,33278149,Win32 EXE,Goversoft Privazer 4.0.109.exe,0,1,2025-08-05 17:53:21,2025-08-05 17:53:21,peexe
0fc2b72292266b99e9610e359dd6f6ea2a4665c425a838fee493f1682800daaa,134d9b28d14bef4481baa7888b00aade5dd29c33,3bbd007cf8f0c02972388844dbad9d67,25388660,Win32 EXE,Wise Care 365 Pro 7.2.4.697.exe,0,1,2025-04-11 9:30:27,2025-04-12 23:11:38,peexe
10573ed5007dfaa0a48c367c69fedaf2bdf9186ea969544a0b9fedf1fb6f432a,3f43ffc9c525f2d83a0473d85c934431e0e8d236,c2263b8fd7420f3c1619b698ec85ad31,106836195,Win32 EXE,Tenorshare 4DDiG 10.3.7.5.exe,0,1,2025-05-08 0:34:28,2025-08-03 7:16:40,peexe
1072dd8b31e8b4cd75614c00796729cd600d08da4f020b89b01b346b56927577,12704ecebfc377f8edff4e925918f20773648514,003595d95c83d74a9e2c8d9cc6150fc4,45015078,Win32 EXE,Stellar Repair for Photo 8.7.0.7.exe,0,1,2025-06-17 9:31:35,2025-07-31 23:11:11,peexe
109377b4349c194b1c673f05ec8613d57b13311cea95a1cfe571b9a0604e4db1,5ba0770f3120aafd447babb4b55a0ef1add6bce5,6ab5b53e729d3374a8ec5a427439d18f,98244141,Win32 EXE,MediaHuman YouTube Downloader 3.9.10 (2404) (x64).exe,0,1,2025-05-04 13:12:43,2025-08-01 7:08:58,peexe
116d350564505ea69fa4977b76a0f0ffab6d9cc5eed018d074f8866905cbdf93,e37de964ba4daa5ec67809d4d69db1a7aee153dc,27f2de936a920326ba94273e4e3e32a9,64886156,Win32 EXE,Disk Drill Enterprise 6.0.1042.0 (x64).exe,0,1,2025-06-10 11:15:02,2025-08-05 0:44:50,peexe
12f69d269d44c82dfffaf7f489194952f8628860bd824eca4c30a22fe57959b0,237a441792e7026c88b9f81e9739819a7432500e,066bf7c000e10bacc98ebfa7d90ec1cb,961024,Win32 EXE,2025-05-26_066bf7c000e10bacc98ebfa7d90ec1cb_agent-tesla_amadey_black-basta_cobalt-strike_darkgate_elex_luca-stealer,-12,2,2025-05-25 1:51:18,2025-07-31 23:11:12,peexe
1300f10d4146339e697bb8827d8f1594feca87f647769b12a666afaf1be079c0,4aa9f8eba6472386244fb54bf832722f72d75892,60f2ce3ef9a561e44a0d1141c147941a,65036784,Win32 EXE,YT Video Downloader 11.25.9.exe,0,1,2025-07-23 17:12:47,2025-08-05 10:19:01,peexe
143b9796c3206babcef82920d7b2c43e6541647c2f0df63bc1c65027f6606efe,29274a7d2a3b5862169adc6e7170c547be0f8965,1ece49212b19748433028447ce2db097,17818722,Win32 EXE,NCH Express Scribe Pro 14.05.exe,-1,2,2025-06-30 4:21:55,2025-08-04 17:56:00,peexe
14b682910218b6b0933717b844bbccc75fcdc6a867d7044e40b108594c187358,8506173afae597bfbd0f4665664362476450ae9d,150b8a919ff51049aa765c2217fe4d50,2128,Windows shortcut,HMRC_Self_Assessment.pdf.lnk,-13,17,2025-03-03 13:38:13,2025-07-21 14:34:05,lnk
15411822b2b30062e54b67c4b6c0d5e4bcffcc31c61d531e873c632ebec67f9c,c87a403cc8d88d3313c401cc738a4807c9e7101a,a852cf3f164a1c3b98c70c8b47c061ed,400838153,Win32 EXE,YT Saver Pro 10.4.1 (x64).exe,0,1,2025-07-22 8:00:35,2025-08-06 4:19:05,peexe
1580b2521d17a9b91dbca8612a16d595e3a94441d7a608f1593745d3a53d6d7c,beb9f6adfdb1fd09b9f2f18ad31f4eeaafbd15d9,323d53d94b5041581ae874792f0c367d,80550461,Win32 EXE,Aiseesoft Burnova 1.5.36 (x64).exe,0,1,2025-02-21 22:44:32,2025-02-22 22:04:41,peexe
1705048111fcc1f909ab1a5d2918a2e2354eb155478e23b666e8c456a5caae6a,767f6127fbc3529a0b9554618ce1dd268cec2023,c1ce2575854b0d6916693c9ce78e5e79,50953056,Win32 EXE,Quicken WillMaker & Trust 2025 v25.3.3028.exe,0,1,2025-03-17 2:27:34,2025-03-18 0:46:01,peexe
171b9dd55d6ca607fe3c224eee6fb365cd26adca9ad34669a9d27998bafb8ed4,8e6c7a1ed48ef7b6396695d8df0dad35399eadf0,ecf93fdfc1b0d83ea66ddfa9170b160c,58076022,Win32 EXE,Ant Download Manager Pro 2.15.0.89131 (x64).exe,0,3,2025-02-12 17:31:28,2025-02-12 22:59:18,peexe
18022845d48174d5eccd84e871c1d4f2734fbfbdcec0a24d2b033016594ef014,8b2d8505843d0106cc00fe724e9f3944dbdaec33,01e7226db53681dad4a79ae50072be7d,36836338,Win32 EXE,Firetrust MailWasher Pro 7.15.23.0.exe,0,1,2025-02-05 11:16:00,2025-02-09 15:19:50,peexe
188969f7bf2f7f5f66cdd587d919ebc60cca2e331d3696c03d15c4846edd4502,e96bbf319dbcfef249ee0feb28abc224166335a7,6fee17aa885d5dac34cf01302ccaee6c,66405718,Win32 EXE,Any Video Downloader Pro 9.2.8.exe,0,1,2025-06-15 10:21:41,2025-07-18 12:52:53,peexe
19a2c1012c7d27459de7fbb01648bb85fcfab96606d8d9212cfdf60549b85339,8a3e21449822c0697f1c0736d6dd703c32cae39a,1e67b4886bb732fb20e6cac9688e705f,38008868,Win32 EXE,IObit Uninstaller Pro 14.4.0.3.exe,0,1,2025-07-30 13:08:06,2025-07-30 13:08:06,peexe
1a7c72849e8a0251d3e9abfd87330d9e9c3b3ea70fea73cbfbf0e4387cb67551,cc3b44a44eead1164432ed18e76e2bb935e97805,bda928c68502d92d9d831b14060b8290,9240576,Windows Installer,1a7c72849e8a0251d3e9abfd87330d9e9c3b3ea70fea73cbfbf0e4387cb67551.msi,-1,5,2025-02-28 21:37:16,2025-03-30 23:55:36,msi
1b00f0c95fd19de6afeff6c62dd6dfc851ce69253b4b2401731b1dd726d8c991,ea8069975251fb76f15ad1ae298284ec8ae700a4,79f8d3b72befc7188da3bfd4285803b9,38993013,Win32 EXE,YTD Video Downloader Ultimate 7.6.5.1.exe,-12,2,2025-03-29 0:26:08,2025-07-26 14:02:49,peexe
1b5a9d662f62a301d29a0c3e6f3fe51bb27e5bd0866c0144676915a170c86fc9,ee1e04b22a7023f4c18c14d22fe1185267e29c8f,457dfca85d2ac56e1136744e69fb05f1,53614462,Win32 EXE,WYSIWYG Web Builder 20.0.4 (x64).exe,-70,6,2025-03-23 0:55:27,2025-08-02 1:53:10,peexe
1b5f23a0003b8029dc8988dd5880ab55c77e7a910295dd73db60d3df9e4a4ab5,8fe0c0f462c9fafdbbbd2deceea71efd9192ab7e,0a813dcdfb41703fc1c83bb2e6c280e0,29730022,Win32 EXE,Advanced System Optimizer 3.81.8181.283.exe,0,1,2025-06-27 14:57:18,2025-08-03 0:09:13,peexe
1c8c41b4d9d5a9fe5975443c3264582bf2e1e73dca4c9f1b1be946063fc6b3f0,44f7a64b20d44319461aedeaee267e991c07714c,d177262a0ecaaff9772844ff82cb641c,506,Powershell,scrcfcd.ps1,0,2,2025-01-28 3:44:28,2025-01-29 22:08:04,powershell
1cca4a97b94990727ef2359a66dbb6b7923441e8ee5ab445f99e2326ed51cdf5,a1627463c614598f1b2e428870d8dc38c0add179,fb96a803c5d92842600d1ffcf50ad112,11235717,Win32 EXE,WinRAR 7.11 Final (x64).exe,0,2,2025-03-28 12:12:17,2025-03-29 19:09:46,peexe
1d193a38530b0c0b7f82dc02b744070788abc69d23701b7e0d09c99c2f65701e,b32c562a063c5e95a02a54b9845c4d19678e8351,cc593326e6ff3d3d55695c817e9b51d6,2948608,Win32 EXE,random.exe,0,1,2025-05-13 17:31:54,2025-05-13 17:31:54,peexe
1de99d4a9d2e6503daa940d498e59eb548efda8ce532913562c46b9a11c4ec53,e77325bb164b40b4d1b65e974b6da481c1d401f2,b69760a7e5daed08c35cf2e4a20d9e7e,208483180,Win32 EXE,Agisoft Metashape Professional 2.2.2 Build 20836 (x64).exe,0,1,2025-07-14 0:55:03,2025-07-23 2:37:53,peexe
1e0654d3479ffd1dda86770e00d547f87df644b129f4592dbb289989d311c391,6134d715f7fdcb71b6aa79ba16b9b3a16faaece3,cbd042bf9fc5eea0e9f7a97d120b63fa,19598992,Win32 EXE,Internet Download Manager 6.42 Build 41.exe,-12,8,2025-06-25 2:18:44,2025-08-03 11:08:27,peexe
1e0b2ead3dc2d2a7ca3d1538dab023e0322d4121e6f3f2c25d092a3e1add8c20,96d1f74001d8cfce766e0e97f0eaac233e5bd78a,5f4897f29fa361f100478dc76ab819e2,33756432,Win32 EXE,IObit Software Updater Pro 7.4.0.1.exe,0,5,2025-03-08 17:33:15,2025-04-18 0:04:14,peexe
1eb0e441cc238e27338d9a58dc78f086a4aac09433c6d6e5fbaf71035e9e9c3b,3020a44707306c9a4b0c952ef4d612cef6a3c28f,129137b10809ef610ddddc34694b789c,35482091,Win32 EXE,Karaosoft Karma 2026.0.4.exe,0,1,2025-07-27 21:42:44,2025-08-05 17:03:12,peexe
1ebc20162f0ece65231d8130552d6b13f4d3e05fa85195f0bda008fb26ec73f2,463b0a11a2c0fec643a6532fe86c40bd85be50b4,0c50df3e78a0bd32cf3e86cce600a9ab,104497,PDF,Amd Scanned Revised Copy oyuyzFNB.pdf,0,1,2024-12-15 6:25:40,2024-12-15 6:25:40,pdf
1f833531890f9c4446ed45c3ad8657e8fc994eca51843608071af140bf08ca04,103fdd4d1d84089ae2edf5168d7fb9bdd97e02e1,043f2556f6565110cf0149dc988bdcec,65322174,Win32 EXE,Muziza YouTube Downloader Converter 8.10.9.exe,0,1,2025-07-23 16:57:27,2025-08-06 4:54:03,peexe
20e5eba7891a77b9accfcb1fd8745bd2e18851f9139211884487505593e89f82,220cb277927364521439fe971ab1b4c7b196ff4c,2c43b8be6821b14834495e33eb22ee25,105569,PDF,Rsm Scanned Revised Copy siy15PBJ.pdf,0,1,2025-02-03 11:10:02,2025-02-03 11:10:02,pdf
210bbe0586e6e0b4facf5ad38255790fa03931ecddd6fdccbb6a013c2c742af2,28df673a03f29c23adf1091e92bcae95bcf268ba,9e01b4496f205b3133efdf795bbd39d8,3360845,Win32 EXE,2025-07-06_9e01b4496f205b3133efdf795bbd39d8_amadey_black-basta_cova_cryptbot_elex_luca-stealer,-11,2,2025-07-05 20:30:23,2025-08-02 8:00:28,peexe
213f8ae34ff3f230c34ffe91ab9a864801f7d11c89fb20eab871ecc1ffd09b18,3e12629e1000df0301099ce648eb1c9a2d0cfe53,4cec329b52c29869eba68f4e2ca4c140,2937856,Win32 EXE,ramez.exe,0,1,2025-05-26 4:25:58,2025-05-26 4:25:58,peexe
2143aa28435989e0e1f22cf107b362d7d15fce4d664b109d330a5e800ccaf347,37ff2dd6849641cc36486c81175e4e5f0042fb43,f9187526f09d954a53cd8e517736baad,100744,Win32 EXE,Wuthering Waves,0,3,2024-09-11 6:48:28,2025-01-30 5:32:08,peexe
22e7f01fba67457ecec5aab777c54c9c2005c4d73be0732b4358e99b9866fa68,b6f5df503e21fc03132823865366ac7025b95ea8,1291e4e8188e5ed7eff9f97a4e42367c,23201853,Win32 EXE,Wise Care 365 Pro 7.2.7.706.exe,0,2,2025-07-01 19:44:32,2025-08-05 0:19:28,peexe
232d211455c6229eb690501c87e804b606ff05070e67ef6c089046c9b61385fa,1775118a93c55328bf38e87b7f2b2a94428a8281,f2b518f7d2f013f734c4cd6679530a5d,112300459,Win32 EXE,CCleaner Business 6.33.11465 (x64).exe,0,1,2025-02-23 10:36:31,2025-05-25 7:16:12,peexe
23642ae8c4aa7e011e42aa2316e5e0a2d7a3e6c98fc64e7dd3a19494e0ed78ad,0254e9252198abd53e75d3b9a296a09c3104c7ea,a59ab0a8c8065a71d005f993022d58d2,406041302,Win32 EXE,YT Saver 10.0.1 (x64).exe,0,1,2025-02-28 20:45:38,2025-02-28 20:45:38,peexe
23d5b6af0ea89058de2f2388feec38675dc7baae71ce4e01d449a06705bcb12b,b692365070644fbbb8eab756e2fd27a08403a742,45a7cc351d24ece6a81f1f8895e7a234,103075854,Win32 EXE,AI Photo to Toon Converter 1.1.4 (Cartoon Yourself 3D).exe,0,1,2025-03-02 3:42:15,2025-03-07 11:48:49,peexe
240775c21f771fde2aff569ea50f2763816cf1be4e57a45f3966f565283c5d0f,3974535e50d9d2444e7aa8c624f371e710bb9109,038b9ea46d457cb52cbf89e4c21afd86,33187426,Win32 EXE,Apeaksoft Data Recovery 3.0.18 (x64).exe,-12,3,2025-04-30 10:25:59,2025-07-31 16:36:20,peexe
245281e0ed18319becee5bed32a320e0d7edb21d75144ac95bcba2ab4b0278d5,f25029cd00b0d2dce6d4c332dc5170c1b09390ce,21d27cc4fae20ba1846103b6c884f841,19585972,Win32 EXE,Internet Download Manager 6.42 Build 35.exe,0,3,2025-05-05 17:45:29,2025-08-04 20:30:41,peexe
2508e9e8c15c2870acaaffbb4f1ad0a6ed98e83dc7e416d35c780a8bbf6dd506,21f83b905ba4e51a3a616ffa2e217ac95ebf3162,a411d2dfa427ade51962b8661bb812d9,26611298,Win32 EXE,Easy Cut Studio 6.013 (x64).exe,0,1,2025-07-22 15:18:01,2025-08-02 9:53:24,peexe
251041325ebd0f3dd52cb22a8e41ae384d7ed53984e4292130a3a39eb3598bd1,9fdd677d73cdf07932de757e551d83987003af72,ca48263b34214ec0c7e61a9345d7aa5a,104692,PDF,Jaririnv Scanned Revised Copy fmktxXPY.pdf,0,1,2025-01-07 10:11:38,2025-01-07 10:11:38,pdf
259a3b6e006dcec5fa887b3ad3e42cd7cf03730ddf94669089ca98b489f42245,be3713733b4f3084cd736b3f6f18d4498b65aa95,356c66cc1ce5d81903d404689f55258a,256989004,Win32 EXE,FileLocator Pro 2022 Build 3522 (x64).exe,0,1,2025-07-19 1:09:18,2025-07-20 1:25:08,peexe
25fd94e5f0685db3c1166895b2ec03c75e77ca9ef684dd5f53703e50256de69f,9cd8872af1a7bc652221bee0e166c0e240fae13c,55f3883d205f487073378bb080fd9bd2,13783793,Win32 EXE,2025-06-21_55f3883d205f487073378bb080fd9bd2_black-basta_cobalt-strike_luca-stealer_satacom_vidar,-11,2,2025-06-19 21:33:41,2025-08-01 3:31:38,peexe
262b266f1437b42c7b46fefdc4e36d78139d23fe3e77565709b7028a50858ca9,33b80914a1688e749b81c8e0486498f3153e715a,0b1d922f2a0cace7c080af1bd8ddf68b,6727498,Win32 EXE,262b266f1437b42c7b46fefdc4e36d78139d23fe3e77565709b7028a50858ca9.exe,-123,3,2025-04-11 14:56:57,2025-07-15 6:00:58,peexe
26777f9cf3e30327ca917393ce5581f9a6e003a6fba661d90837c9200920ce3e,1611b264e158d5695add39d57a8e8a98450f827f,26c3a51a9f7dcd35df6e0021b8fc887c,10708212,Win32 EXE,DupInOut Duplicate Finder 1.1.3.7.exe,0,1,2025-07-22 8:09:30,2025-08-05 10:18:57,peexe
26e8600875627cba7e7902be2029a18d16a6e9dab53ab23bed68824a9d6c3b49,49b273492d71ff1a328fdf4f9b2931c7ddd6d9c6,3b330aef3c1965e8c77d978c0864c9ed,10819569,Win32 EXE,Bitsum Process Lasso Pro 15.1.0.50 (x64).exe,-12,5,2025-02-22 19:41:05,2025-05-25 15:54:06,peexe
27043364bd050639e2346a626a36fd58ca78f032f1de068133b9557de5c3d232,0144f72f53cf2e04dccce9fc0f12db437bcdbbb9,0e398961d0b8d042a6a79750bed2e11e,128401760,Win32 EXE,Movavi Video Editor 2025 25.9.0.exe,0,1,2025-06-22 19:27:03,2025-06-22 19:27:03,peexe
2711ff49411c3969141277987b3bd62a85334ac3a4bc6ac65dec5348acaf3bdc,a6a70e6fe9f08f1b5950517f803720ec0347ca6a,7274109b1b398cc55db4e4b67745deaa,553941,ZIP,,0,1,2025-04-08 14:57:07,2025-04-10 1:07:42,zip
27c5e91d1efe93040aaae7e2dcbcd5c58e93cb9330f686c0091dbd9a2ceef933,0fea25fc4d511dc0f4a95c06507ba3f8c69ee28c,c4edef3c9457d0af5ba8eec6467612cf,30692,HTML,,0,1,2024-09-21 8:40:53,2024-09-21 8:40:53,html
2869de311ab5f4b3ea5d988b5b0dfbf4364cd2f197e901ad65b25de92ff6aa3f,97419a45185ce72da9b6d06fdb427f06f70e99ed,36f0bc4649066ad616b4c2091d489778,7707233,Win32 EXE,Easy System Utility Pro 1.1.41.exe,0,1,2025-07-01 20:01:48,2025-08-06 0:37:16,peexe
28b367cb1962093b0e12b5dc4b57100226f4be7c4d23b661bcda8929884c8b63,a2d20a085e56803b29f55e8060e3d676673f8f38,c971ecb3cdb09a247e6c7260c39520f5,242981654,Win32 EXE,Turbo Studio 25.7.7.exe,0,2,2025-07-22 20:47:10,2025-08-05 18:59:09,peexe
2a014b2059d6b4a0bc0b5b1040f4427b815cda973a4721bcc9ee00461a09ddbc,e12334cc1e8779ab478de36e788368295d012b68,725e7b095bb088385c1ffc95c76f916c,71886187,Win32 EXE,Insofta Cover Commander 8.0.exe,0,2,2025-07-02 11:45:28,2025-07-02 11:45:28,peexe
2a13ede45e958eb952864b5a666fe73bc87cddaab2720892fa8e471b5b4917b8,29961a7f8a9de30c15274db1f736b4e347f6daee,4edf7a6f8dfa894f6aaf9b6d40a23d3f,15316155,Win32 EXE,Secure Eraser Professional 7.004.exe,0,2,2025-06-12 6:34:06,2025-08-01 1:14:36,peexe
2a196a394b6f73d6e9dafe6205c6507802d50d21de2d715ff512c2c2e4b6531c,0a9f7bd8b51d61288cf253a186693f38299bbfb5,b327cefae6707c649804ba89518e9690,279944,Win32 EXE,Combat Master,-12,16,2024-08-22 11:54:30,2025-01-30 12:30:09,peexe
2ae4e34723c77c3e7558bc65719b520946673328a2ae4eb72ba37e3cbb8838ab,eca878738a56ecfe5b8e91ae74920987b7c46f24,8b2199b1f83ed580e9edd13eaf3cf3d7,2166,Windows shortcut,SoftwareUpdate1.pdf.lnk,-13,2,2025-03-19 2:16:05,2025-03-27 16:53:18,lnk
2b203a5f8456719d2b3b3fc39453b72be519de684cb67de2ac74d6f6c0688d7c,ce3ffd1c6f5b33acf8ac5f20d94f37f1f942bf04,e2f289c70718b1f3fd20c4597a919b34,13788289,Win32 EXE,2025-06-21_e2f289c70718b1f3fd20c4597a919b34_black-basta_cobalt-strike_luca-stealer_satacom_vidar,-11,2,2025-06-19 21:52:23,2025-08-03 23:09:43,peexe
2c0c4dc9c2d5a25f16971beb01602ede36e423c7394829529f91442bc32427cf,c2dea990cf6dc4f3299e94ea3042f22224997296,84bf110b3f7d74fc7a26ee9b07336893,26212435,Win32 EXE,ISO Workshop 13.5 (x64).exe,0,1,2025-07-28 20:15:34,2025-08-01 20:25:08,peexe
2c5ff17a5fe069fc007ff81824d675360186587ef834156fc2696630c370a4c9,1dfa837d0745a77096a75627143a687fc99c950f,417bf30b5ed2a1d679a93028f13a1ca3,679936,Win32 EXE,Oclzxdkj.exe,-13,5,2025-04-24 21:55:41,2025-08-05 2:53:42,peexe
